Make	Model	Aliases	Formats
Canon	EOS R		testmode
Canon	EOS RP		testmode1; testmode2
Canon	EOS R5		
Canon	EOS R6		
Canon	EOS R3		
Canon	EOS R7		
Canon	EOS R10		
Canon	EOS M50	EOS KISS M	
Canon	EOS M50 Mark II	EOS KISS M2	
Canon	EOS M6 Mark II		
Canon	EOS 250D	EOS Kiss X10; EOS Rebel SL3; EOS 200D Mark II	
Canon	EOS 850D	EOS Kiss X10i; EOS Rebel T8i	
Canon	EOS 90D		
Canon	EOS-1D X Mark III		
Canon	PowerShot G7 X Mark III		
Canon	PowerShot G5 X Mark II		
Canon	PowerShot SX70 HS		
Canon	EOS Ra		
Canon	EOS R6 Mark II		
Canon	EOS R8		
Canon	EOS R50		
Canon	EOS R100		
